ticks,numWhites,numBlacks,globalTemp,solarLuminosity
1,210,210,23.61949763686236,1.0
2,260,424,27.726418497965586,1.0
3,342,478,27.222693852519743,1.0
4,356,481,26.47483064979157,1.0
5,359,479,25.969368775741586,1.0
6,359,474,25.668878220123748,1.0
7,363,475,25.378282965701707,1.0
8,364,474,25.185957939689224,1.0
9,362,475,25.174298300567365,1.0
10,357,481,25.4131573987324,1.0
11,350,486,25.842674891988263,1.0
12,341,491,26.442472532955303,1.0
13,342,489,26.6857920309188,1.0
14,350,484,26.45988836064429,1.0
15,360,475,25.886214461210788,1.0
16,361,476,25.57145396012964,1.0
17,365,473,25.235516038101668,1.0
18,363,472,25.13294610353497,1.0
19,370,466,24.762021268359767,1.0
20,371,466,24.53908337568921,1.0
21,364,468,24.709046602371572,1.0
22,367,472,24.719809485338217,1.0
23,366,470,24.74356255446734,1.0
24,361,471,24.95236838816512,1.0
25,361,477,25.114082847325342,1.0
26,366,368,23.96640301616745,1.0
27,400,336,21.81273538877503,1.0
28,442,376,19.54400857033848,1.0
29,448,388,18.299415395245386,1.0
30,446,392,17.790277452738966,1.0
31,442,396,17.723818076691707,1.0
32,439,396,17.80301481391685,1.0
33,440,398,17.824241554883614,1.0
34,438,399,17.91935779925141,1.0
35,433,403,18.19250099172421,1.0
36,437,400,18.150514916473224,1.0
37,430,403,18.42050597558387,1.0
38,426,408,18.753163024063717,1.0
39,417,421,19.38094583239128,1.0
40,402,431,20.352488599984603,1.0
41,396,441,21.158632071464424,1.0
42,396,441,21.56170380720434,1.0
43,396,441,21.763239675074306,1.0
44,385,452,22.38130899582563,1.0
45,383,458,22.822606148678553,1.0
46,374,464,23.437845543162723,1.0
47,373,463,23.773388791769126,1.0
48,376,463,23.8287339908236,1.0
49,378,458,23.733696021592188,1.0
50,382,458,23.536275136644758,1.0
51,316,457,25.90139412592557,1.0
52,276,473,28.73580340337996,1.0
53,310,493,29.069880363659024,1.0
54,332,501,28.488873781722674,1.0
55,333,499,28.141791168234423,1.0
56,338,493,27.72356094376433,1.0
57,344,486,27.222729515001788,1.0
58,346,486,26.897362850454638,1.0
59,349,479,26.555389626902375,1.0
60,352,477,26.252872742440292,1.0
61,355,473,25.95098018008625,1.0
62,366,462,25.282732512092842,1.0
63,370,458,24.76049908289019,1.0
64,384,448,23.879206479942276,1.0
65,393,436,22.98665781809925,1.0
66,402,433,22.17444844027569,1.0
67,405,431,21.636813478678004,1.0
68,407,429,21.273941200276205,1.0
69,414,421,20.753761345746327,1.0
70,420,417,20.230610873109566,1.0
71,421,406,19.826489000804063,1.0
72,423,411,19.59723673307827,1.0
73,420,417,19.65234856677554,1.0
74,413,426,20.02820012267171,1.0
75,411,425,20.281524927067128,1.0
76,392,393,20.814559796846403,1.0
77,360,372,22.0797020362998,1.0
78,381,415,22.336020899183275,1.0
79,396,437,22.112190526189508,1.0
80,398,440,21.95398016068244,1.0
81,392,444,22.13793552330075,1.0
82,387,451,22.48415404605448,1.0
83,389,450,22.572760433546904,1.0
84,381,457,22.983730893986483,1.0
85,377,456,23.32956610081937,1.0
86,372,461,23.737620698243333,1.0
87,362,471,24.41192198497013,1.0
88,360,471,24.82402357849943,1.0
89,358,477,25.1623368677413,1.0
90,343,488,25.998696799510324,1.0
91,341,491,26.520483486716376,1.0
92,339,493,26.87543162792234,1.0
93,338,495,27.10948502104539,1.0
94,335,500,27.38669776144852,1.0
95,336,500,27.487828656567128,1.0
96,337,493,27.434055163013593,1.0
97,345,486,27.040501149543463,1.0
98,348,483,26.702641946403904,1.0
99,360,476,26.01714317780914,1.0
100,363,470,25.504655825951588,1.0
